patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
2cd94cbb-c19a-458c-835b-1c8c0a4c9f7f,Quý ông Anh Lê,721080221225,25/10/1994,0318136044,etran@example.com,"1 Jane Số
JanePhường, 519904",Tim mạch,10.52,Chi Trần,03/03/2026
f85e06a1-1dad-49b2-92c2-1221409d3602,Phương Văn Mai,623616639691,14/05/1998,0923058180,mnguyen@example.net,"7 John Khu
Huyện JanePhường, 608257",Khỏe mạnh,8.96,An Hoàng,05/06/2026
4f8d5238-288b-48b5-b5b4-53ca3d42993c,Vân Bùi,796387982711,06/03/1948,0783143741,johnduong@example.org,"48 Bùi Dãy
JohnThị xã, 678043",Tim mạch,4.31,Quý cô Lâm Hoàng,09/04/2026
dd30de89-22f2-45f2-a11b-868dbf0d073d,Hạnh Bùi,092359399279,01/10/1981,0518208412,john44@example.net,"787 Đặng Số
JaneQuận, 831380",Tim mạch,4.9,Quý cô Mai Bùi,09/01/2026
b489d070-7914-48a8-bea4-ff31517400f8,Kim Trí Dương,063400959082,13/07/1940,0357373898,janetran@example.com,"262 Jane Khu
JanePhường, 184216",Tiểu đường,9.11,Tùng Hữu Đặng,02/05/2026
7cea2045-c268-483e-a32f-2e63b7fddd71,Duyên Trần,230463017226,12/06/1967,0912345071,john16@example.org,"24 John Tổ
Huyện JaneHuyện, 551607",Huyết áp cao,5.37,Chị Phương Bùi,20/04/2026
2b840c67-2e18-4554-8ae2-8e66ae8a7813,Cô Khoa Bùi,613841838062,08/04/1968,0854866187,jhoang@example.org,"40 Vũ Hẻm
Thị xã JaneXã, 413685",Huyết áp cao,7.86,Nhật Đức Dương,14/06/2026
627b41a1-ffd6-4232-b2ff-e2944d57d880,Ông Quang Bùi,860991054678,06/05/1984,0785899358,jane06@example.com,"7 Phạm Tổ
Quận JanePhường, 892280",Tiểu đường,6.53,Cô Hải Nguyễn,01/03/2026
945ef2e4-088a-43ec-b0d9-c9f8c9e26074,Hoàng Quang Vũ,949218415600,17/12/1979,0843966054,mle@example.org,"8 Lê Khu
JanePhường, 455168",Tiểu đường,8.91,Nhật Trần,28/01/2026
dc322c97-39c1-4262-b76c-8edec1101266,Phương Phú Trần,187248151508,12/03/1989,0740824513,vujohn@example.com,"6 Trần Làng
JohnXã, 688678",Khỏe mạnh,11.4,Trọng Hải Trần,04/05/2026
b379cb1e-e8cd-40cc-b6da-3ca0d2e82f38,Huy Trần,890489573748,08/07/1954,0825980174,nguyenjane@example.com,"2 Dương Tổ
JohnThị xã, 786735",Tiểu đường,7.74,Nhật Hoàng,21/03/2026
08601833-479d-4cda-b396-ea37f065c817,Trung Mai Dương,329131484914,18/08/1967,0585158840,john58@example.net,"31 Trần Làng
Thành phố JaneQuận, 232040",Tiểu đường,11.29,Cô Ánh Mai,10/02/2026
dea45c19-d024-4d72-b748-967f961d33ba,Bà Vi Lê,178986413923,17/11/1935,0818924085,john28@example.com,"0 John Tổ
Huyện JohnQuận, 378258",Tim mạch,3.58,Lan Bùi,13/04/2026
79eb4168-1045-46e5-bee3-eb791d181ee9,Bác Minh Hoàng,383745850671,03/05/1950,0368947310,omai@example.net,"00 Bùi Số
Thị xã JaneThành phố, 184714",Tiểu đường,10.33,Trọng Trí Trần,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Thành Thế Dương,276947627217,19/04/2004,0597927873,ytran@example.net,"73 Đặng Dãy
JanePhường, 199704",Khỏe mạnh,9.63,Huy Tấn Vũ,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Ông Vũ Trần,222170683702,07/03/1948,0596935648,vtran@example.net,"0 Trần Số
JanePhường, 153945",Khỏe mạnh,6.64,Trọng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Quý cô Lâm Trần,025895000871,22/02/1983,0387165929,john49@example.org,"4 John Khu
JaneHuyện, 106402",Khỏe mạnh,3.88,Chị Khoa Bùi,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Hương Mai,420859640693,09/10/1964,0985519384,dbui@example.com,"5 John Hẻm
Thành phố JohnHuyện, 564637",Khỏe mạnh,5.69,Nhật Mai Bùi,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Huy Đức Vũ,615815216426,21/09/2001,0519967206,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Tiểu đường,7.02,Chị Kim Mai,17/05/2026
d556b37d-8f08-41ee-8011-316b3ae88926,Vũ Hữu Nguyễn,345539777548,11/11/1994,0916083102,duongjohn@example.com,"6 Trần Số
Huyện JohnXã, 582446",Tim mạch,6.45,Vũ Bảo Trần,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Kim Vũ,608327991946,13/09/1981,0733457391,janele@example.org,"8 Jane Tổ
Quận JohnQuận, 368402",Huyết áp cao,8.15,Chị Duyên Lê,28/05/2026
2d5972c6-134a-4a2f-a7cf-705cc257cf73,Quý ông Nhiên Hoàng,309067852104,03/08/1996,0547911299,jane27@example.org,"90 Mai Ngõ
JaneThị xã, 139434",Tiểu đường,6.41,Linh Vũ,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Khoa Hoàng,100766276464,03/07/2004,0978950173,lduong@example.net,"93 Hoàng Dãy
Thành phố JaneThành phố, 950360",Huyết áp cao,6.67,Vũ Xuân Nguyễn,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Bà Thành Vũ,395754491040,21/03/1988,0823133690,rdang@example.net,"518 Vũ Khu
Huyện JohnXã, 795847",Tim mạch,3.96,Bà Hạnh Bùi,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Tùng Bùi,875834461006,13/03/1980,0562822103,johnbui@example.net,"23 Dương Làng
Quận JohnThành phố, 410160",Tim mạch,5.89,Phương Mai,12/06/2026
09a9d1c1-86ca-46f4-a238-fe93bd17c5e8,Trọng Trí Hoàng,132356334279,06/10/1986,0702728990,johnle@example.net,"7 Jane Tổ
Thị xã JanePhường, 921874",Tiểu đường,11.17,Anh Tùng Phạm,02/03/2026
78116802-c8cc-4cfe-8f01-f944f7315749,Bà Dương Hoàng,021919082071,17/06/1995,0720520316,xvu@example.com,"392 Nguyễn Dãy
JohnPhường, 986982",Tim mạch,11.52,Hạnh Trần,29/05/2026
e7c225da-7306-4588-85d5-a68d290a3abb,Quý cô Hà Phạm,547518864190,21/11/1996,0397033486,john60@example.com,"15 John Tổ
Huyện JohnQuận, 140163",Tiểu đường,9.71,Châu Lê,28/05/2026
9d8776a0-72d7-4bdd-b817-99ffb49e04cc,Xuân Trần,334760859267,29/01/1938,0564055493,john28@example.net,"434 John Làng
JaneThành phố, 216242",Tim mạch,3.75,Ông Minh Hoàng,16/02/2026
6de299a1-4a90-4d0c-a4c1-73b9b7f28572,Duyên Đặng,674783207364,26/03/1968,0530365404,qle@example.net,"888 Jane Dãy
Thị xã JaneHuyện, 883618",Tim mạch,9.27,Linh Trần,08/03/2026
a0d572c8-a837-4e68-bba2-05ca3dba6da8,Khoa Đặng,384861557904,25/08/1953,0881791152,dangjane@example.net,"7 John Ngõ
JohnHuyện, 311383",Tiểu đường,11.79,Vi Phạm,22/06/2026
4f612217-eef1-4694-90ca-e32d0aba590e,Phương Mai Bảo Vũ,024308679587,23/06/1940,0332385268,janedang@example.org,"15 Bùi Dãy
JaneQuận, 620306",Khỏe mạnh,10.08,Bác Minh Vũ,05/06/2026
14348f62-6cac-428c-ba22-006515260718,Khoa Xuân Mai,444978223029,23/06/1975,0766164788,john15@example.net,"6 Jane Tổ
JohnPhường, 469685",Huyết áp cao,11.02,Hạnh Thị Trần,11/05/2026
83599af6-5d01-455f-a7fd-64c4a334058a,Cô Bảo Hoàng,143962644478,16/02/1995,0864903628,lejohn@example.org,"69 John Dãy
JaneThị xã, 900152",Huyết áp cao,11.89,Khoa Lê,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Quang Trần,060329928812,08/01/1939,0566306906,janemai@example.com,"47 Jane Dãy
Thành phố JohnThành phố, 574001",Huyết áp cao,5.32,Quý cô Hà Đặng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Khoa Lê,981506059802,10/03/1959,0909712567,john13@example.org,"589 Dương Hẻm
Thành phố JaneThị xã, 851759",Tim mạch,10.11,Quý ông Huy Hoàng,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Nhật Dương,308122960014,27/11/2005,0883613274,john89@example.org,"80 John Khu
Quận JanePhường, 336422",Huyết áp cao,10.51,Minh Thế Trần,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Hoàng Vũ,736571213546,06/02/2008,0584186692,maijohn@example.net,"995 John Ngõ
Huyện JohnXã, 536822",Tim mạch,8.1,Chi Mai,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Quý cô Thảo Dương,506541375201,04/06/1945,0524090793,lejane@example.com,"92 Đặng Tổ
JohnHuyện, 639995",Huyết áp cao,11.36,Thành Phạm,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Cô An Vũ,088802911831,11/10/1987,0849629414,kpham@example.com,"278 Dương Khu
JohnThành phố, 512344",Huyết áp cao,6.54,Anh Trung Hoàng,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Bác Tùng Nguyễn,870638444943,14/02/1950,0880120588,qle@example.net,"06 John Tổ
JohnThị xã, 628750",Khỏe mạnh,7.39,Bác Trọng Hoàng,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,Dũng Phú Lê,134402128176,02/08/1962,0353097275,cmai@example.org,"87 John Tổ
JohnThị xã, 746447",Tim mạch,8.69,Nhiên Đặng,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Châu Nguyễn,209263585514,17/08/1985,0515436908,john69@example.com,"7 Hoàng Làng
Thị xã JohnXã, 759580",Tim mạch,10.98,Bảo Hải Nguyễn,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Chi Đặng,254819951809,27/06/1992,0903506271,janepham@example.com,"0 John Tổ
JaneHuyện, 281594",Tim mạch,11.13,Bác Tùng Đặng,12/05/2026
ae455cc6-b88e-430f-9e1e-994ac5a11f5c,Trọng Dương,497826979807,29/08/1961,0892778155,janemai@example.com,"37 Dương Tổ
JaneThành phố, 701334",Tiểu đường,6.38,Kim Phú Lê,26/02/2026
b6d1f6bb-f48f-409c-89a2-24410ac4de85,Thành Dương,755552405062,24/05/1970,0994975329,mpham@example.net,"199 John Đường
Quận JohnThành phố, 533377",Khỏe mạnh,5.24,Châu Đức Lê,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Quý cô Hải Dương,726247054655,22/06/2000,0724813674,janedang@example.com,"9 John Hẻm
JohnThành phố, 976822",Tim mạch,7.2,Nhật Xuân Vũ,20/06/2026
9165f2ed-4c63-4e95-825f-55430997623a,Thành Vũ,845415860263,30/04/1997,0835944649,gle@example.com,"27 Lê Đường
JaneXã, 807160",Huyết áp cao,11.79,Chị Duyên Bùi,10/06/2026
1634725b-53f3-4073-83e9-6ef46d7df5d0,Hải Đức Lê,128556681656,18/08/1954,0990997539,pdang@example.org,"45 Hoàng Đường
JanePhường, 347781",Huyết áp cao,8.1,Dương Trần,01/04/2026
afa28559-67c9-4204-a8e3-33b64e8adc4b,Tú Vũ,862513111964,07/07/1985,0963817905,johnle@example.com,"87 John Ngõ
JaneThành phố, 691573",Huyết áp cao,8.72,An Mai,25/06/2026
89628f6e-929c-43b3-b3c0-8bf18167999f,Chị Thành Mai,940207029683,18/08/1995,0854939314,phamjane@example.org,"728 Dương Đường
JanePhường, 122827",Tim mạch,8.57,Hạnh Văn Phạm,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Phương Nguyễn,498490314857,19/11/1944,0841727673,snguyen@example.com,"6 Bùi Dãy
JaneThành phố, 815894",Tim mạch,10.51,Bà Hà Lê,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Cô Vi Nguyễn,190070501813,06/02/1976,0317615326,bmai@example.net,"752 Phạm Ngõ
Thị xã JohnQuận, 316092",Tim mạch,7.5,Hà Hoàng,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Mai Nguyễn,513900979282,29/03/1990,0942681259,ipham@example.org,"843 Hoàng Tổ
Huyện JohnPhường, 646571",Tim mạch,8.63,Quý cô Thảo Vũ,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Quý cô Phương Dương,957804915338,15/11/1941,0310442944,jane85@example.net,"62 Phạm Làng
JohnThị xã, 160423",Huyết áp cao,4.15,Kim Trí Bùi,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Nhật Đặng,681975152676,29/01/1948,0964673733,johnvu@example.com,"398 Jane Làng
JaneThành phố, 322096",Tim mạch,8.11,Cô Yến Dương,27/06/2026
b42a2d93-9aba-4f15-b214-90623e1a963e,Quý cô Xuân Phạm,952301585925,07/04/1979,0338453974,jane78@example.net,"87 Trần Dãy
JohnHuyện, 428122",Tim mạch,7.51,An Hải Lê,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Hạnh Trí Phạm,839967842501,21/05/1980,0940812091,janehoang@example.org,"77 Lê Tổ
Quận JaneQuận, 668471",Huyết áp cao,11.6,Vân Nguyễn,12/06/2026
d1682e09-f1f7-4904-9307-5157d8c128e7,Vi Nguyễn,872422532653,15/08/1991,0389788493,johntran@example.net,"7 Nguyễn Dãy
JohnThành phố, 658065",Khỏe mạnh,9.03,An Văn Mai,21/05/2026
49646b96-fa3c-4628-8926-21df465568b7,Vân Bùi,196088906064,22/11/1959,0898856377,tranjohn@example.org,"46 Jane Số
JohnPhường, 336828",Tiểu đường,6.9,Vũ Nguyễn,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Ông Nam Lê,089521400766,30/09/1946,0922632239,pbui@example.com,"0 John Dãy
JohnThành phố, 817675",Khỏe mạnh,5.91,Tùng Hoàng,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Nam Hoàng Hoàng,898546915756,12/02/1955,0592002052,ttran@example.org,"8 Bùi Hẻm
Huyện JohnThành phố, 558320",Huyết áp cao,11.84,Cô Linh Hoàng,30/05/2026
658e54a2-9879-4f35-b471-99869d264599,Nam Đức Dương,061962684657,07/04/2002,0316447881,janemai@example.com,"943 John Khu
Thị xã JohnPhường, 508548",Tiểu đường,9.19,Quang Đức Trần,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Tú Lê,313844378172,17/05/1947,0939002265,janeduong@example.net,"015 Jane Số
Huyện JaneThị xã, 917018",Huyết áp cao,6.58,Nhật Mai,25/06/2026
926bffa5-3e24-4fbf-ba69-8cd2fe2390f3,Quý cô Bảo Lê,584782600003,04/02/1972,0725199820,jane72@example.org,"47 Jane Khu
Thị xã JohnThị xã, 212168",Khỏe mạnh,7.29,Bà An Bùi,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Bảo Tấn Bùi,775459803425,07/01/1954,0784225273,jane93@example.com,"47 Jane Số
JaneHuyện, 219420",Khỏe mạnh,10.59,Chị Dương Mai,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Quý cô Vi Vũ,782407505527,26/11/1944,0874427114,iduong@example.net,"2 Bùi Ngõ
JaneXã, 520274",Tim mạch,8.1,Phương Thị Đặng,17/05/2026
98049562-8972-4bbd-8ff2-b1c4e53f9644,Hà Phạm,151601563656,23/10/1983,0856783465,johnhoang@example.net,"61 John Khu
Quận JaneHuyện, 510133",Khỏe mạnh,9.45,Anh Quang Nguyễn,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Hà Lê,367227720533,25/11/1982,0794065088,jane73@example.net,"775 Jane Đường
Thành phố JanePhường, 214675",Tim mạch,4.85,Chị Phương Lê,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Anh Thành Lê,874056161437,10/11/1960,0318583271,bbui@example.net,"96 Nguyễn Làng
Huyện JohnXã, 206694",Khỏe mạnh,9.96,Bà Thành Phạm,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Bác Trọng Bùi,282520036578,01/12/1988,0706827081,dangjane@example.com,"9 John Tổ
Quận JaneThành phố, 291936",Tiểu đường,7.95,Hoàng Hữu Bùi,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Quý cô Hải Mai,045404141999,26/01/1959,0924669506,janevu@example.org,"0 Nguyễn Dãy
Quận JaneXã, 629990",Tiểu đường,9.21,Quý ông Châu Bùi,18/05/2026
2ad11fe8-7d1b-495e-b1a0-449dd703262f,Khoa Nguyễn,004404974707,04/07/1965,0847501321,john43@example.net,"7 John Khu
JohnPhường, 562806",Tim mạch,7.41,Quý cô Hương Phạm,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Quang Trần,821256357037,02/04/1995,0582646453,phamjohn@example.net,"9 Lê Hẻm
Quận JohnXã, 467856",Tim mạch,5.35,Trọng Mai,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Nhiên Vũ,408951127719,03/07/2005,0730813714,lejane@example.org,"Quận JohnQuận
672 Bùi Số, 573947",Tim mạch,7.96,Hải Trần,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Bảo Mai Bảo Đặng,672920239273,30/10/1935,0730935065,duongjane@example.org,"637 Đặng Khu
JohnXã, 993829",Tiểu đường,11.56,Bác Hưng Nguyễn,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Hương Lê,490186495127,21/07/1995,0340461243,bnguyen@example.org,"Huyện JohnHuyện
5 Trần Tổ, 796787",Tiểu đường,4.83,Cô Kim Vũ,21/05/2026
6de21429-3bf0-49c1-8156-e501b30e96e8,Nhật Trần,951954465490,23/08/1935,0329826363,janetran@example.org,"051 Lê Dãy
Quận JaneThành phố, 866260",Tiểu đường,8.87,Hà Đặng,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Chị Hà Mai,517015727985,24/08/1936,0560145430,janedang@example.net,"97 John Ngõ
Thành phố JaneHuyện, 550246",Khỏe mạnh,8.37,Hoàng Hải Vũ,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Nam Vũ,246985011557,15/06/1963,0785709762,janevu@example.net,"61 Jane Ngõ
Huyện JaneQuận, 505629",Huyết áp cao,4.58,Thành Xuân Dương,30/05/2026
1149d096-965d-444f-8445-c1a812af97e4,Thảo Phạm,182409478709,29/11/1940,0901629609,buijane@example.net,"61 Jane Ngõ
JohnXã, 313068",Huyết áp cao,3.53,Bà Kim Hoàng,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Hạnh Bùi,207220704123,21/12/1967,0358087340,phamjohn@example.com,"21 John Đường
Thị xã JaneXã, 642347",Huyết áp cao,7.65,Phúc Đặng,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,An Đặng,570608129114,03/12/1993,0849159482,john49@example.net,"5 Jane Hẻm
JohnHuyện, 910894",Tim mạch,6.34,Khoa Trần,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Mai Nguyễn,630229846336,13/09/1999,0790205620,jane22@example.org,"536 Vũ Ngõ
JohnXã, 806033",Khỏe mạnh,11.68,Lan Phạm,06/06/2026
f43e8c48-0bc1-49e5-bb3d-f0638409c5ea,Hà Mai Vũ,523714045618,11/10/1977,0804396708,john87@example.org,"4 Jane Tổ
JohnPhường, 673108",Khỏe mạnh,5.74,Chị Ngọc Bùi,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Linh Nguyễn,964362088152,14/09/1986,0594492548,john38@example.org,"410 Jane Tổ
JohnXã, 200219",Tim mạch,8.6,Quý cô Hà Hoàng,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Chị Hạnh Vũ,396657384678,14/05/1978,0519979142,udang@example.com,"291 John Hẻm
JaneHuyện, 526259",Tiểu đường,7.88,Phương Đặng,30/05/2026
769de1e3-4eed-4124-b3b0-d6763527a5c8,Tú Trần,388905220750,11/12/1956,0574545198,john35@example.org,"68 Jane Khu
Thành phố JaneThị xã, 682959",Khỏe mạnh,3.73,Cô Chi Trần,06/06/2026
030f9be9-1f17-4f93-a3c9-7a1ecb371d97,Ánh Phạm,964854035804,13/04/1953,0585466494,janedang@example.net,"9 Trần Đường
Quận JaneQuận, 196446",Tiểu đường,7.78,Tú Thị Dương,10/01/2026
